mod_variants,Ford Figo Ambiente petrol,Ford Figo Titanium petrol,Ford Figo Titanium AT petrol
,,,
gen_info,"Experience the smoothest drive of the new, fully automatic Ford Figo","Experience the smoothest drive of the new, fully automatic Ford Figo","Experience the smoothest drive of the new, fully automatic Ford Figo"
,,,
bod_type,hatchback,hatchback,hatchback
bod_colors,"Diamond White, Rube Red, Moondust Silver, White Gold, Smoke Grey","Ruby red, moondust silver, smoke grey, white gold, diamond white","Ruby red, moondust silver, smoke grey, white gold, diamond white"
